类别,子类别,Month1($),Month2($),Month3($),Month4($),Month5($),Month6($),合计($),说明
基础设施,域名 (Cloudflare),5,0,0,0,0,0,5,年付~$15
基础设施,服务器托管 (Railway),15,15,15,15,15,15,90,基础套餐
基础设施,企业邮箱 (Zoho),0,0,0,0,0,0,0,免费版
基础设施,官网 (Carrd/自建),0,0,5,5,5,5,20,Carrd免费→升级
基础设施,小计,20,15,20,20,20,20,115,
内容运营,小红书薯条推广,0,0,0,50,50,50,150,Month4起
内容运营,内容工具 (Canva Pro),0,0,13,13,13,13,52,图文制作
内容运营,视频制作工具,0,0,0,0,0,0,0,手机录制免费
内容运营,小计,0,0,13,63,63,63,202,
KOL合作,小礼品/感谢费 (KOL测评),0,50,50,50,0,0,150,换测评帖
KOL合作,KOL专属折扣码 (机会成本),0,0,0,0,0,0,0,折扣不直接花钱
KOL合作,小计,0,50,50,50,0,0,150,
数据工具,GA4,0,0,0,0,0,0,0,免费
数据工具,Notion (内测反馈),0,0,0,0,0,0,0,免费版够用
数据工具,小计,0,0,0,0,0,0,0,
应急/其他,备用预算,0,0,17,17,17,17,68,
月度合计,,20,65,100,150,100,100,535,
累计支出,,20,85,185,335,435,535,,
月MRR收入,,490,1078,2450,4410,7105,9800,,基准场景
月净利润 (收入-支出-API成本),,400,883,2200,4060,6805,9400,,AI成本已从MRR中扣除
